Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,JobInvolvement,JobRole,JobSatisfaction,MonthlyIncome,MonthlyRate,NumCompaniesWorked,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,TotalWorkingYears,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
29,No,Travel_Frequently,Sales,20,Bachelor,1,974,High,Female,High,Sales Representative,Very High,2157,18203,1,15,Excellent,Medium,3,Better,3,1,0,2
35,No,Travel_Rarely,Sales,18,Bachelor,1,975,High,Female,High,Sales Executive,High,4601,6179,1,16,Excellent,Medium,5,Better,5,2,1,0
52,No,Travel_Rarely,Research & Development,1,College,1,976,Very High,Male,High,Manager,Very High,17099,13829,2,15,Excellent,Medium,26,Good,9,8,7,8
58,Yes,Travel_Rarely,Research & Development,2,Bachelor,1,977,Very High,Male,High,Research Scientist,High,2479,26227,4,24,Outstanding,Low,7,Better,1,0,0,0
53,No,Travel_Rarely,Sales,2,College,1,981,High,Male,High,Manager,High,14852,13938,6,13,Excellent,High,22,Best,17,13,15,2
30,No,Travel_Rarely,Sales,8,College,1,982,High,Male,High,Sales Executive,High,7264,9977,5,11,Excellent,Low,10,Best,8,4,7,7
38,No,Non-Travel,Sales,10,Bachelor,1,983,High,Female,High,Sales Executive,Very High,5666,19899,1,13,Excellent,Medium,6,Better,5,3,1,3
35,No,Travel_Rarely,Sales,3,Master,1,984,Very High,Male,High,Sales Executive,Very High,7823,6812,6,13,Excellent,Medium,12,Better,10,9,0,8
39,No,Travel_Rarely,Sales,2,Doctor,1,985,Low,Male,Very High,Sales Executive,High,7880,2560,0,18,Excellent,Very High,9,Better,8,7,0,7
40,Yes,Non-Travel,Sales,24,Bachelor,1,986,Medium,Female,Very High,Sales Executive,Medium,13194,17071,4,16,Excellent,Very High,22,Good,1,0,0,0
47,No,Travel_Frequently,Research & Development,16,Master,1,987,High,Male,Very High,Manufacturing Director,High,5067,6759,1,19,Excellent,High,20,Best,19,10,2,7
36,No,Non-Travel,Sales,8,Master,1,990,Low,Male,High,Sales Executive,Very High,5079,25952,4,13,Excellent,Very High,12,Better,7,7,0,7
31,Yes,Non-Travel,Research & Development,9,College,1,991,High,Male,Medium,Research Scientist,Low,2321,10322,0,22,Outstanding,Low,4,Better,3,2,1,2
33,No,Non-Travel,Sales,17,Bachelor,1,992,Very High,Male,High,Manager,High,17444,20489,1,11,Excellent,Very High,10,Better,10,8,6,0
29,Yes,Travel_Rarely,Research & Development,10,Bachelor,1,994,Very High,Female,Medium,Research Scientist,Low,2404,11479,6,20,Outstanding,High,3,Better,0,0,0,0
33,No,Travel_Rarely,Research & Development,13,Below College,1,995,Medium,Female,High,Research Scientist,Very High,3452,17241,3,18,Excellent,Low,5,Better,3,2,0,2
45,No,Travel_Rarely,Research & Development,1,Master,1,996,Very High,Female,High,Laboratory Technician,Very High,2270,11005,3,14,Excellent,Very High,8,Better,5,3,0,2
50,No,Travel_Rarely,Research & Development,1,College,1,997,Very High,Male,High,Research Director,Very High,17399,6615,9,22,Outstanding,High,32,Good,5,4,1,3
33,No,Travel_Frequently,Research & Development,1,Master,1,998,High,Female,Very High,Healthcare Representative,Medium,5488,20161,1,13,Excellent,Low,6,Better,6,5,1,2
41,No,Travel_Frequently,Research & Development,9,Bachelor,1,999,Low,Male,High,Research Director,High,19419,3735,2,17,Excellent,Medium,21,Best,18,16,0,11
27,No,Travel_Rarely,Research & Development,16,Master,1,1001,High,Female,High,Laboratory Technician,Medium,2811,12086,9,14,Excellent,Medium,4,Better,2,2,2,2
45,No,Non-Travel,Research & Development,23,College,1,1002,Very High,Male,High,Laboratory Technician,Low,3633,14039,1,15,Excellent,High,9,Better,9,8,0,8
47,No,Travel_Rarely,Sales,4,College,1,1003,Very High,Female,High,Sales Executive,Very High,4163,8571,1,17,Excellent,High,9,Better,9,0,0,7
30,Yes,Travel_Rarely,Research & Development,22,Bachelor,1,1004,Low,Female,High,Research Scientist,High,2132,11539,4,11,Excellent,Medium,7,Better,5,2,0,1
50,No,Travel_Rarely,Research & Development,24,Bachelor,1,1005,Very High,Male,High,Manufacturing Director,High,13973,4161,3,18,Excellent,Very High,22,Better,12,11,1,5
38,No,Travel_Frequently,Research & Development,10,Below College,1,1006,High,Male,High,Research Scientist,High,2684,12127,0,17,Excellent,Medium,3,Good,2,1,0,2
46,No,Travel_Rarely,Research & Development,7,College,1,1007,Very High,Male,High,Manufacturing Director,High,10845,24208,6,13,Excellent,Medium,13,Better,8,7,0,7
24,No,Travel_Rarely,Research & Development,17,Below College,1,1009,Very High,Female,Medium,Manufacturing Director,High,4377,24117,1,15,Excellent,Medium,5,Better,4,2,3,2
35,Yes,Travel_Rarely,Research & Development,14,Master,1,1010,High,Male,Medium,Laboratory Technician,Medium,3743,10074,1,24,Outstanding,Very High,5,Bad,4,2,0,2
31,No,Travel_Frequently,Research & Development,1,Below College,1,1011,High,Female,High,Manufacturing Director,Low,4148,11275,1,12,Excellent,High,4,Better,4,3,0,3
18,No,Non-Travel,Research & Development,5,College,1,1012,Medium,Male,High,Research Scientist,Very High,1051,13493,1,15,Excellent,Very High,0,Better,0,0,0,0
54,No,Travel_Rarely,Research & Development,17,Bachelor,1,1013,High,Female,High,Manufacturing Director,High,10739,13943,8,11,Excellent,High,22,Better,10,7,0,8
35,No,Travel_Rarely,Research & Development,25,Master,1,1014,High,Female,High,Healthcare Representative,High,10388,6975,1,11,Excellent,High,16,Good,16,10,10,1
30,No,Travel_Rarely,Research & Development,8,College,1,1015,Medium,Female,Very High,Research Director,Low,11416,17802,0,12,Excellent,High,9,Good,8,7,1,7
20,Yes,Travel_Rarely,Research & Development,11,Bachelor,1,1016,Very High,Female,Medium,Research Scientist,Low,2600,18275,1,15,Excellent,Low,1,Better,1,0,0,0
30,Yes,Travel_Frequently,Research & Development,5,Bachelor,1,1017,Medium,Female,High,Laboratory Technician,Medium,2422,25725,0,17,Excellent,Low,4,Better,3,2,1,2
26,No,Travel_Rarely,Research & Development,2,College,1,1018,Very High,Male,Very High,Manufacturing Director,Very High,5472,3334,1,12,Excellent,Medium,8,Better,8,7,1,3
22,No,Travel_Rarely,Research & Development,8,Below College,1,1019,Medium,Male,Low,Laboratory Technician,Low,2451,6881,1,15,Excellent,Low,4,Good,4,3,1,1
48,No,Travel_Rarely,Research & Development,6,Bachelor,1,1022,Low,Male,Medium,Healthcare Representative,High,4240,13119,2,13,Excellent,Very High,19,Better,2,2,2,2
48,No,Travel_Rarely,Research & Development,4,Master,1,1024,High,Male,Medium,Healthcare Representative,High,10999,22245,7,14,Excellent,Medium,27,Better,15,11,4,8
41,No,Travel_Rarely,Research & Development,7,College,1,1025,Very High,Female,High,Manufacturing Director,High,5003,23371,6,14,Excellent,Medium,8,Better,2,2,2,1
39,No,Travel_Rarely,Research & Development,1,Below College,1,1026,Very High,Female,Medium,Manufacturing Director,Very High,12742,7060,1,16,Excellent,High,21,Better,21,6,11,8
27,No,Travel_Rarely,Research & Development,2,Master,1,1027,Low,Female,High,Manufacturing Director,Very High,4227,4658,0,18,Excellent,Medium,4,Better,3,2,2,2
35,No,Travel_Rarely,Research & Development,10,Bachelor,1,1028,Medium,Male,High,Laboratory Technician,Very High,3917,9541,1,20,Outstanding,Low,3,Good,3,2,1,2
42,No,Travel_Rarely,Sales,5,College,1,1029,Very High,Male,High,Manager,High,18303,7770,6,13,Excellent,Medium,21,Best,1,0,0,0
50,No,Travel_Rarely,Research & Development,9,Bachelor,1,1030,Low,Male,High,Laboratory Technician,Very High,2380,20165,4,18,Excellent,Medium,8,Better,1,0,0,0
59,No,Travel_Rarely,Research & Development,2,Bachelor,1,1032,High,Female,Medium,Manufacturing Director,Very High,13726,21829,3,13,Excellent,Low,30,Better,5,3,4,3
37,Yes,Travel_Rarely,Research & Development,11,College,1,1033,Low,Female,Low,Healthcare Representative,Medium,4777,14382,5,15,Excellent,Low,15,Bad,1,0,0,0
55,No,Travel_Frequently,Research & Development,18,Master,1,1034,High,Male,High,Healthcare Representative,Medium,6385,12992,3,14,Excellent,Very High,17,Better,8,7,6,7
41,No,Non-Travel,Research & Development,7,Below College,1,1035,Medium,Female,Low,Research Director,High,19973,20284,1,22,Outstanding,Medium,21,Better,21,16,5,10
38,No,Travel_Rarely,Sales,3,Master,1,1036,Medium,Male,High,Sales Executive,Very High,6861,4981,8,12,Excellent,High,19,Better,1,0,0,0
26,Yes,Non-Travel,Sales,29,College,1,1037,Medium,Male,Low,Sales Executive,Low,4969,21813,8,18,Excellent,Very High,7,Better,2,2,2,2
52,Yes,Travel_Rarely,Sales,2,Below College,1,1038,Low,Female,Low,Manager,Very High,19845,25846,1,15,Excellent,Very High,33,Better,32,14,6,9
44,No,Travel_Rarely,Sales,28,Bachelor,1,1039,Very High,Female,Very High,Sales Executive,Very High,13320,11737,3,18,Excellent,High,23,Better,12,11,11,11
50,No,Non-Travel,Sales,1,Bachelor,1,1040,Very High,Female,High,Sales Executive,High,6347,24920,0,12,Excellent,Low,19,Better,18,7,0,13
36,Yes,Travel_Rarely,Research & Development,16,Master,1,1042,High,Female,Very High,Laboratory Technician,Low,2743,8269,1,16,Excellent,High,18,Better,17,13,15,14
39,No,Travel_Frequently,Research & Development,22,Bachelor,1,1043,Very High,Female,High,Manufacturing Director,Low,10880,5083,1,13,Excellent,High,21,Better,21,6,2,8
33,No,Non-Travel,Sales,8,Below College,1,1044,Medium,Female,Medium,Sales Representative,Very High,2342,21437,0,19,Excellent,Very High,3,Good,2,2,2,2
45,No,Travel_Rarely,Sales,11,College,1,1045,Very High,Female,High,Manager,Very High,17650,5404,3,13,Excellent,Medium,26,Best,9,3,1,1
32,No,Non-Travel,Research & Development,29,Master,1,1046,Very High,Female,High,Laboratory Technician,High,4025,11135,9,12,Excellent,Medium,10,Better,8,7,7,7
34,No,Travel_Rarely,Sales,1,Master,1,1047,Medium,Male,Very High,Sales Executive,Very High,9725,12278,0,11,Excellent,Very High,16,Good,15,1,0,9
59,No,Travel_Rarely,Sales,1,College,1,1048,Medium,Male,High,Manager,Very High,11904,11038,3,14,Excellent,High,14,Bad,6,4,0,4
45,No,Travel_Rarely,Human Resources,24,Master,1,1049,Medium,Male,High,Human Resources,Medium,2177,8318,1,16,Excellent,Low,6,Better,6,3,0,4
53,No,Travel_Frequently,Sales,2,Bachelor,1,1050,High,Female,Medium,Sales Executive,Medium,7525,23537,2,12,Excellent,Low,30,Better,15,7,6,12
36,Yes,Travel_Rarely,Research & Development,15,Bachelor,1,1052,Low,Male,High,Laboratory Technician,High,4834,7858,7,14,Excellent,Medium,9,Good,1,0,0,0
26,Yes,Travel_Frequently,Research & Development,2,Bachelor,1,1053,Low,Male,High,Research Scientist,Low,2042,15346,6,14,Excellent,Medium,6,Better,3,2,1,2
34,No,Travel_Rarely,Sales,10,Master,1,1055,High,Female,High,Sales Representative,High,2220,18410,1,19,Excellent,Very High,1,Better,1,1,0,0
28,No,Travel_Rarely,Sales,10,Below College,1,1056,Very High,Male,High,Sales Representative,Medium,1052,23384,1,22,Outstanding,Medium,1,Better,1,0,0,0
38,No,Travel_Frequently,Research & Development,3,Master,1,1060,High,Male,High,Research Scientist,High,2821,2997,3,16,Excellent,Low,8,Better,2,2,2,2
50,No,Travel_Rarely,Research & Development,2,Master,1,1061,Medium,Male,High,Research Director,High,19237,12853,2,11,Excellent,Very High,29,Good,8,1,7,7
37,No,Travel_Rarely,Research & Development,3,Bachelor,1,1062,Very High,Female,High,Healthcare Representative,Medium,4107,13848,3,15,Excellent,Low,8,Good,4,3,0,1
40,No,Travel_Rarely,Sales,26,Bachelor,1,1066,High,Male,High,Sales Executive,Low,8396,22217,1,14,Excellent,Medium,8,Good,7,7,7,5
26,No,Travel_Frequently,Research & Development,1,Below College,1,1068,Low,Female,Medium,Research Scientist,High,2007,25265,1,13,Excellent,High,5,Better,5,3,1,3
46,No,Travel_Rarely,Research & Development,1,Master,1,1069,Very High,Male,High,Research Director,Very High,19627,21445,9,17,Excellent,Very High,23,Better,2,2,2,2
54,No,Travel_Rarely,Sales,2,Master,1,1070,High,Female,Medium,Sales Executive,High,10686,8392,6,11,Excellent,Medium,13,Better,9,4,7,0
56,No,Travel_Frequently,Research & Development,9,Bachelor,1,1071,Low,Female,High,Research Scientist,High,2942,12154,2,19,Excellent,Medium,18,Better,5,4,0,3
36,No,Travel_Rarely,Research & Development,12,Doctor,1,1073,Very High,Female,Medium,Manufacturing Director,Very High,8858,15669,0,11,Excellent,Medium,15,Good,14,8,7,8
55,No,Non-Travel,Research & Development,2,Below College,1,1074,High,Male,Medium,Manager,Low,16756,17323,7,15,Excellent,Medium,31,Best,9,7,6,2
43,No,Travel_Rarely,Sales,25,Bachelor,1,1076,High,Male,Medium,Sales Executive,Very High,10798,5268,5,13,Excellent,High,18,Better,1,0,0,0
20,Yes,Travel_Frequently,Sales,9,Bachelor,1,1077,Very High,Female,High,Sales Representative,Very High,2323,17205,1,14,Excellent,Medium,2,Better,2,2,0,2
21,Yes,Travel_Rarely,Research & Development,10,Bachelor,1,1079,High,Female,Medium,Laboratory Technician,Low,1416,17258,1,13,Excellent,Low,1,Good,1,0,1,0
46,No,Travel_Rarely,Research & Development,8,Master,1,1080,Very High,Female,Medium,Research Scientist,Low,4615,21029,8,23,Outstanding,Low,19,Better,16,13,1,7
51,Yes,Travel_Rarely,Research & Development,4,Master,1,1081,Low,Male,High,Research Scientist,High,2461,10332,9,12,Excellent,High,18,Best,10,0,2,7
28,Yes,Non-Travel,Research & Development,24,College,1,1082,Medium,Male,Medium,Healthcare Representative,Low,8722,12355,1,12,Excellent,Low,10,Good,10,7,1,9
26,No,Travel_Rarely,Research & Development,1,College,1,1083,Low,Male,Medium,Laboratory Technician,Low,3955,11141,1,16,Excellent,Low,6,Better,5,3,1,3
30,No,Travel_Rarely,Research & Development,20,Bachelor,1,1084,High,Male,High,Manufacturing Director,Low,9957,9096,0,15,Excellent,High,7,Good,6,2,0,2
41,No,Travel_Rarely,Research & Development,7,College,1,1085,Medium,Female,Very High,Research Scientist,High,3376,18863,1,13,Excellent,High,10,Better,10,6,0,8
38,No,Travel_Rarely,Research & Development,17,Below College,1,1088,High,Female,Medium,Healthcare Representative,High,8823,24608,0,18,Excellent,Low,20,Good,19,9,1,9
40,No,Travel_Rarely,Research & Development,20,Master,1,1092,Low,Male,High,Healthcare Representative,Very High,10322,26542,4,20,Outstanding,Very High,14,Better,11,10,11,1
27,No,Non-Travel,Research & Development,8,Doctor,1,1094,Low,Male,Low,Laboratory Technician,High,4621,5869,1,19,Excellent,Very High,3,Better,3,2,1,2
55,No,Travel_Frequently,Research & Development,2,Below College,1,1096,Very High,Male,High,Manufacturing Director,Medium,10976,15813,3,18,Excellent,Medium,23,Better,3,2,1,2
28,No,Travel_Rarely,Research & Development,10,Bachelor,1,1097,High,Female,High,Research Scientist,High,3660,7909,3,13,Excellent,Very High,10,Best,8,7,1,7
44,Yes,Travel_Rarely,Human Resources,1,College,1,1098,Medium,Male,Medium,Human Resources,Low,10482,2326,9,14,Excellent,Very High,24,Better,20,6,3,6
33,No,Travel_Rarely,Research & Development,5,Bachelor,1,1099,Very High,Male,Medium,Healthcare Representative,Very High,7119,21214,4,15,Excellent,High,9,Better,3,2,1,2
35,Yes,Travel_Rarely,Sales,4,Bachelor,1,1100,Very High,Male,High,Sales Executive,Low,9582,10333,0,22,Outstanding,Low,9,Better,8,7,4,7
33,Yes,Travel_Frequently,Research & Development,29,Master,1,1101,Low,Female,Medium,Research Scientist,High,4508,3129,1,22,Outstanding,Medium,14,Better,13,7,3,8
28,No,Travel_Rarely,Research & Development,15,College,1,1102,Low,Male,High,Laboratory Technician,High,2207,22482,1,16,Excellent,Very High,4,Good,4,2,2,2
34,No,Travel_Frequently,Research & Development,3,Below College,1,1103,Low,Male,High,Healthcare Representative,Very High,7756,22266,0,17,Excellent,High,7,Good,6,2,0,4
37,No,Travel_Rarely,Sales,10,Master,1,1105,Very High,Female,Medium,Sales Executive,Very High,6694,24223,2,14,Excellent,High,8,Better,1,0,0,0
25,Yes,Travel_Rarely,Research & Development,4,Below College,1,1106,Very High,Male,High,Laboratory Technician,Very High,3691,4605,1,15,Excellent,Medium,7,Best,7,7,5,6
26,Yes,Travel_Rarely,Research & Development,21,Bachelor,1,1107,Low,Male,High,Laboratory Technician,High,2377,19373,1,20,Outstanding,High,1,Good,1,1,0,0
33,Yes,Travel_Rarely,Research & Development,25,Bachelor,1,1108,Low,Male,Medium,Research Scientist,Medium,2313,2993,4,20,Outstanding,Medium,5,Better,2,2,2,2
42,No,Travel_Rarely,Research & Development,2,College,1,1109,Very High,Male,High,Manager,Low,17665,14399,0,17,Excellent,Very High,23,Better,22,6,13,7
28,Yes,Travel_Frequently,Research & Development,1,Bachelor,1,1111,Low,Male,Medium,Laboratory Technician,Medium,2596,7160,1,15,Excellent,Low,1,Better,1,0,0,0
50,Yes,Travel_Frequently,Sales,1,Master,1,1113,Very High,Male,High,Sales Executive,High,4728,17251,3,14,Excellent,Very High,5,Better,0,0,0,0
33,No,Travel_Frequently,Sales,7,Bachelor,1,1114,Very High,Female,High,Sales Executive,Medium,4302,13401,0,17,Excellent,High,4,Better,3,2,0,2
34,No,Non-Travel,Research & Development,3,Master,1,1115,High,Male,Medium,Research Scientist,Very High,2979,22478,3,17,Excellent,Very High,6,Better,0,0,0,0
48,No,Non-Travel,Research & Development,1,Master,1,1116,Low,Male,Very High,Manager,Very High,16885,16154,2,22,Outstanding,High,27,Good,5,4,2,1
45,No,Non-Travel,Sales,9,Master,1,1117,Medium,Female,Medium,Sales Executive,High,5593,17970,1,13,Excellent,Very High,15,Better,15,10,4,12
52,No,Travel_Rarely,Research & Development,7,Master,1,1118,Medium,Male,High,Healthcare Representative,Medium,10445,15322,7,19,Excellent,Very High,18,Better,8,6,4,0
38,No,Travel_Rarely,Sales,10,Master,1,1119,High,Male,Medium,Sales Executive,High,8740,5569,0,14,Excellent,Medium,9,Better,8,7,2,7
29,No,Travel_Rarely,Research & Development,28,Master,1,1120,High,Female,High,Research Scientist,Very High,2514,26968,4,22,Outstanding,Low,11,Better,7,5,1,7
28,No,Travel_Rarely,Research & Development,3,Bachelor,1,1121,Very High,Female,High,Manufacturing Director,Medium,7655,8039,0,17,Excellent,Medium,10,Good,9,7,1,7
46,No,Travel_Rarely,Sales,3,Below College,1,1124,Low,Male,High,Manager,High,17465,15596,3,12,Excellent,Very High,23,Better,12,9,4,9
38,No,Travel_Rarely,Sales,2,College,1,1125,Very High,Male,High,Sales Executive,Medium,7351,20619,7,16,Excellent,High,10,Better,1,0,0,0
43,No,Travel_Frequently,Research & Development,27,Bachelor,1,1126,High,Female,High,Manufacturing Director,Low,10820,11535,8,11,Excellent,High,18,Better,8,7,0,1
39,Yes,Travel_Frequently,Research & Development,2,Bachelor,1,1127,Low,Male,High,Healthcare Representative,Very High,12169,13547,7,11,Excellent,Very High,21,Better,18,7,11,5
40,No,Travel_Rarely,Research & Development,14,Bachelor,1,1128,High,Male,Medium,Research Director,High,19626,17544,1,14,Excellent,Low,21,Best,20,7,4,9
21,No,Travel_Rarely,Research & Development,1,Below College,1,1131,Very High,Female,Medium,Research Scientist,Medium,2070,25326,1,11,Excellent,High,2,Best,2,2,2,2
39,No,Non-Travel,Research & Development,9,Bachelor,1,1132,High,Male,High,Laboratory Technician,Medium,6782,8770,9,15,Excellent,High,9,Good,5,4,0,3
36,No,Non-Travel,Research & Development,18,Master,1,1133,Low,Male,High,Manufacturing Director,Very High,7779,23238,2,20,Outstanding,Low,18,Better,11,9,0,9
31,No,Travel_Frequently,Sales,20,Bachelor,1,1135,High,Male,Very High,Sales Representative,Very High,2791,21981,0,12,Excellent,Low,3,Better,2,2,2,2
28,No,Travel_Rarely,Research & Development,2,Below College,1,1136,Low,Male,Medium,Research Scientist,Medium,3201,19911,0,17,Excellent,Low,6,Bad,5,3,0,4
35,No,Travel_Frequently,Sales,11,College,1,1137,Very High,Male,High,Sales Executive,Very High,4968,18500,1,11,Excellent,Very High,5,Better,5,2,0,2
49,No,Travel_Rarely,Sales,8,Master,1,1138,Very High,Male,Medium,Sales Executive,Medium,13120,11879,6,17,Excellent,Medium,22,Better,9,8,2,3
34,No,Travel_Frequently,Research & Development,2,College,1,1140,Very High,Male,High,Manufacturing Director,High,4033,15834,2,11,Excellent,Very High,5,Good,3,2,0,2
29,No,Travel_Frequently,Research & Development,10,Bachelor,1,1143,Very High,Female,High,Research Scientist,Medium,3291,17940,0,14,Excellent,Very High,8,Good,7,5,1,1
42,No,Travel_Rarely,Research & Development,29,Bachelor,1,1148,Medium,Male,Low,Laboratory Technician,Very High,4272,9558,4,19,Excellent,Low,16,Better,1,0,0,0
29,No,Travel_Rarely,Research & Development,8,Below College,1,1150,Medium,Male,Medium,Manufacturing Director,Very High,5056,17689,1,15,Excellent,High,10,Good,10,7,1,2
38,No,Travel_Rarely,Human Resources,1,Bachelor,1,1152,High,Male,Very High,Human Resources,High,2844,6004,1,13,Excellent,Very High,7,Best,7,6,5,0
28,No,Travel_Frequently,Research & Development,6,Bachelor,1,1154,High,Male,Medium,Research Scientist,High,2703,22088,1,14,Excellent,Very High,3,Better,3,1,0,2
18,Yes,Non-Travel,Research & Development,8,Below College,1,1156,High,Male,High,Laboratory Technician,High,1904,13556,1,12,Excellent,Very High,0,Better,0,0,0,0
33,Yes,Travel_Rarely,Sales,9,Master,1,1157,Low,Female,High,Sales Executive,Low,8224,18385,0,17,Excellent,Low,6,Better,5,2,0,3
41,No,Travel_Rarely,Research & Development,12,Master,1,1158,Medium,Male,High,Laboratory Technician,Very High,4766,9051,3,11,Excellent,Low,6,Better,1,0,0,0
31,Yes,Travel_Frequently,Research & Development,15,Bachelor,1,1160,High,Male,High,Laboratory Technician,High,2610,6233,1,12,Excellent,High,2,Good,2,2,2,2
37,No,Travel_Rarely,Research & Development,25,College,1,1161,High,Female,Medium,Healthcare Representative,Very High,5731,17171,7,13,Excellent,High,9,Better,6,2,1,3
27,No,Travel_Rarely,Research & Development,6,Bachelor,1,1162,Very High,Male,Medium,Research Scientist,High,2539,7950,1,13,Excellent,High,4,Better,4,2,2,2
34,No,Travel_Rarely,Sales,9,Below College,1,1163,Medium,Female,High,Sales Executive,High,5714,5829,1,20,Outstanding,Low,6,Good,6,5,1,3
35,No,Travel_Rarely,Human Resources,8,Master,1,1164,High,Male,High,Human Resources,High,4323,7108,1,17,Excellent,Medium,6,Bad,5,4,1,4
29,Yes,Travel_Rarely,Sales,23,Below College,1,1165,Very High,Female,Medium,Sales Executive,Low,7336,11162,1,13,Excellent,Low,11,Bad,11,8,3,10
40,No,Travel_Frequently,Research & Development,9,Master,1,1166,Medium,Female,High,Research Director,High,13499,13782,9,17,Excellent,High,20,Good,18,7,2,13
42,Yes,Travel_Frequently,Sales,12,Bachelor,1,1167,High,Male,High,Sales Executive,Low,13758,2447,0,12,Excellent,Medium,22,Good,21,9,13,14
42,No,Travel_Rarely,Sales,4,Master,1,1171,Medium,Male,High,Sales Executive,Low,5155,2253,7,13,Excellent,Very High,9,Best,6,4,1,5
35,No,Travel_Rarely,Research & Development,1,Master,1,1172,Very High,Male,Medium,Laboratory Technician,High,2258,16340,6,12,Excellent,Medium,10,Better,8,0,1,7
24,No,Travel_Rarely,Research & Development,24,Bachelor,1,1173,Very High,Male,High,Laboratory Technician,Medium,3597,6409,8,22,Outstanding,Very High,6,Better,4,3,1,2
28,Yes,Travel_Rarely,Research & Development,12,Below College,1,1175,High,Female,High,Laboratory Technician,Very High,2515,22955,1,11,Excellent,Very High,1,Good,1,1,0,0
26,No,Travel_Rarely,Research & Development,3,Master,1,1177,Low,Male,Very High,Laboratory Technician,Very High,4420,13421,1,22,Outstanding,Medium,8,Better,8,7,0,7
30,No,Travel_Rarely,Sales,10,Bachelor,1,1179,High,Male,Medium,Sales Executive,High,6578,2706,1,18,Excellent,Low,10,Better,10,3,1,4
40,No,Travel_Frequently,Research & Development,26,College,1,1180,High,Female,Medium,Research Scientist,Very High,4422,21203,3,13,Excellent,Very High,16,Bad,1,1,0,0
35,No,Travel_Rarely,Research & Development,2,Bachelor,1,1182,High,Male,Medium,Manufacturing Director,Medium,10274,19588,2,18,Excellent,Medium,15,Best,7,7,6,4
34,No,Travel_Frequently,Research & Development,1,Bachelor,1,1184,Very High,Male,Medium,Healthcare Representative,Low,5343,25755,0,20,Outstanding,High,14,Better,13,9,4,9
35,No,Travel_Frequently,Research & Development,4,Master,1,1185,Very High,Male,Medium,Laboratory Technician,Very High,2376,26537,1,13,Excellent,Medium,2,Best,2,2,2,2
43,Yes,Travel_Rarely,Sales,9,Bachelor,1,1188,Low,Female,Low,Sales Executive,High,5346,9489,8,13,Excellent,Medium,7,Good,4,3,1,3
32,No,Non-Travel,Sales,2,Below College,1,1190,High,Female,High,Sales Representative,Low,2827,14947,1,12,Excellent,High,1,Better,1,0,0,0
56,No,Travel_Rarely,Research & Development,4,Master,1,1191,Very High,Female,High,Manager,Low,19943,18575,4,13,Excellent,Very High,28,Better,5,2,4,2
29,No,Travel_Rarely,Research & Development,6,Below College,1,1192,Medium,Female,High,Laboratory Technician,Very High,3131,26342,1,13,Excellent,Low,10,Better,10,8,0,8
19,No,Travel_Rarely,Research & Development,9,College,1,1193,High,Male,High,Research Scientist,Low,2552,7172,1,25,Outstanding,High,1,Better,1,1,0,0
45,No,Travel_Rarely,Research & Development,7,Bachelor,1,1195,Low,Female,High,Research Scientist,High,4477,20100,4,19,Excellent,High,7,Good,3,2,0,2
37,No,Travel_Rarely,Research & Development,1,Bachelor,1,1196,Very High,Female,Medium,Manufacturing Director,Very High,6474,9961,1,13,Excellent,Medium,14,Good,14,8,3,11
20,No,Travel_Rarely,Research & Development,3,Bachelor,1,1198,Low,Male,Medium,Laboratory Technician,High,3033,12828,1,12,Excellent,Low,2,Good,2,2,1,2
44,Yes,Travel_Rarely,Research & Development,10,Master,1,1200,High,Male,High,Research Scientist,High,2936,10826,1,11,Excellent,High,6,Better,6,4,0,2
53,No,Travel_Rarely,Research & Development,7,College,1,1201,Very High,Female,High,Manager,High,18606,18640,3,18,Excellent,Medium,26,Better,7,7,4,7
29,No,Travel_Rarely,Research & Development,15,Below College,1,1202,Medium,Female,Low,Research Scientist,Very High,2168,26933,0,18,Excellent,Low,6,Good,5,4,1,3
22,Yes,Travel_Frequently,Research & Development,3,Master,1,1203,High,Male,Medium,Research Scientist,Very High,2853,4223,0,11,Excellent,Medium,1,Better,0,0,0,0
46,No,Travel_Rarely,Sales,2,Bachelor,1,1204,High,Female,High,Manager,Low,17048,24097,8,23,Outstanding,Low,28,Better,26,15,15,9
44,No,Non-Travel,Research & Development,17,Bachelor,1,1206,Very High,Male,Low,Research Scientist,High,2290,4279,2,13,Excellent,Very High,6,Better,0,0,0,0
33,No,Travel_Rarely,Human Resources,2,Bachelor,1,1207,Medium,Male,High,Human Resources,High,3600,8429,1,13,Excellent,Very High,5,Better,5,4,1,4
41,Yes,Non-Travel,Research & Development,5,College,1,1210,Low,Male,Medium,Research Scientist,Low,2107,20293,6,17,Excellent,Low,5,Bad,1,0,0,0
30,No,Travel_Rarely,Sales,29,Master,1,1211,High,Male,High,Sales Executive,Low,4115,13192,8,19,Excellent,High,8,Better,4,3,0,3
40,No,Travel_Frequently,Sales,2,Master,1,1212,Medium,Male,High,Sales Executive,Medium,4327,25440,5,12,Excellent,Very High,5,Better,0,0,0,0
50,No,Travel_Frequently,Research & Development,2,Bachelor,1,1215,Very High,Female,High,Manager,Low,17856,9490,2,22,Outstanding,High,32,Better,2,2,2,2
